Rk_team,Team,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,Rk_opp,G_opp,MP_opp,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,PTS_opp
20.0,Los Angeles Clippers,82,19805,3409,7075,0.482,1022,2738,0.373,2387,4337,0.55,1416,1776,0.797,841,2750,3591,2064,773,370,1220,1503,9256,4.0,82,19805,3240,7032,0.461,1064,3038,0.35,2176,3994,0.545,1330,1723,0.772,798,2605,3403,2105,723,352,1233,1458,8874
21.0,Utah Jazz,82,19805,3305,7272,0.454,1144,3267,0.35,2161,4005,0.54,1421,1836,0.774,983,2741,3724,2093,555,360,1412,1549,9175,30.0,82,19805,3655,7622,0.48,1219,3403,0.358,2436,4219,0.577,1412,1850,0.763,957,2670,3627,2429,802,527,968,1580,9941
22.0,Portland Trail Blazers,82,19780,3325,7396,0.45,1057,3095,0.342,2268,4301,0.527,1386,1820,0.762,1095,2576,3671,1952,678,433,1309,1558,9093,15.0,82,19780,3410,7238,0.471,1042,2884,0.361,2368,4354,0.544,1475,1846,0.799,978,2650,3628,2147,781,453,1271,1582,9337
23.0,Toronto Raptors,82,19805,3414,7462,0.458,969,2786,0.348,2445,4676,0.523,1294,1729,0.748,1034,2666,3700,2340,664,348,1257,1738,9091,18.0,82,19805,3377,7242,0.466,1079,3093,0.349,2298,4149,0.554,1610,2070,0.778,940,2750,3690,2124,752,484,1238,1484,9443
24.0,Miami Heat,82,19930,3318,7138,0.465,1124,3060,0.367,2194,4078,0.538,1309,1654,0.791,798,2760,3558,2166,668,314,1114,1275,9069,7.0,82,19930,3383,7262,0.466,1118,3109,0.36,2265,4153,0.545,1139,1468,0.776,880,2783,3663,2176,618,382,1133,1390,9023
25.0,New Orleans Pelicans,82,19755,3332,7368,0.452,986,2839,0.347,2346,4529,0.518,1356,1799,0.754,993,2583,3576,2119,701,429,1201,1499,9006,26.0,82,19755,3585,7419,0.483,1199,3289,0.365,2386,4130,0.578,1410,1794,0.786,972,2778,3750,2349,739,428,1148,1471,9779
26.0,Philadelphia 76ers,82,19805,3254,7168,0.454,1041,3050,0.341,2213,4118,0.537,1439,1844,0.78,852,2411,3263,1901,752,366,1117,1556,8988,21.0,82,19805,3475,7118,0.488,1167,3084,0.378,2308,4034,0.572,1382,1741,0.794,946,2787,3733,2317,610,420,1311,1530,9499
27.0,Washington Wizards,82,19730,3233,7371,0.439,1075,3210,0.335,2158,4161,0.519,1315,1690,0.778,867,2716,3583,2058,623,420,1276,1618,8856,29.0,82,19730,3583,7611,0.471,1170,3213,0.364,2413,4398,0.549,1540,1941,0.793,1059,2949,4008,2334,746,428,1093,1490,9876
28.0,Orlando Magic,82,19730,3130,7034,0.445,921,2892,0.318,2209,4142,0.533,1464,1890,0.775,914,2517,3431,1887,729,488,1165,1648,8645,1.0,82,19730,3125,6680,0.468,938,2571,0.365,2187,4109,0.532,1467,1916,0.766,751,2703,3454,1870,635,361,1329,1666,8655
29.0,Brooklyn Nets,82,19780,3086,7060,0.437,1113,3232,0.344,1973,3828,0.515,1334,1696,0.787,894,2493,3387,2063,639,352,1244,1698,8619,11.0,82,19780,3317,6909,0.48,1059,2928,0.362,2258,3981,0.567,1509,1936,0.779,829,2754,3583,2219,660,457,1228,1550,9202
30.0,Charlotte Hornets,82,19755,3142,7308,0.43,1065,3143,0.339,2077,4165,0.499,1269,1621,0.783,1003,2703,3706,1994,607,368,1271,1535,8618,16.0,82,19755,3409,7293,0.467,1163,3277,0.355,2246,4016,0.559,1384,1752,0.79,927,2783,3710,2196,718,435,1089,1488,9365
,League Average,82,19787,3419,7318,0.467,1110,3082,0.36,2309,4236,0.545,1386,1777,0.78,912,2705,3617,2177,673,400,1172,1525,9334,,82,19787,3419,7318,0.467,1110,3082,0.36,2309,4236,0.545,1386,1777,0.78,912,2705,3617,2177,673,400,1172,1525,9334
