Rk_team,Team,G_team,MP_team,FG_team,FGA_team,FG%_team,3P_team,3PA_team,3P%_team,2P_team,2PA_team,2P%_team,FT_team,FTA_team,FT%_team,ORB_team,DRB_team,TRB_team,AST_team,STL_team,BLK_team,TOV_team,PF_team,PTS_team,Rk_opp,G_opp,MP_opp,FG_opp,FGA_opp,FG%_opp,3P_opp,3PA_opp,3P%_opp,2P_opp,2PA_opp,2P%_opp,FT_opp,FTA_opp,FT%_opp,ORB_opp,DRB_opp,TRB_opp,AST_opp,STL_opp,BLK_opp,TOV_opp,PF_opp,PTS_opp
1.0,Oklahoma City Thunder,48,11645,2094,4275,0.49,635,1773,0.358,1459,2502,0.583,960,1163,0.825,427,1674,2101,1221,471,284,587,964,5783,5.0,48,11645,1819,4227,0.43,686,1854,0.37,1133,2373,0.477,843,1119,0.753,583,1607,2190,1193,353,197,831,1023,5167
2.0,Cleveland Cavaliers,48,11570,2069,4394,0.471,703,1973,0.356,1366,2421,0.564,873,1119,0.78,580,1572,2152,1352,415,250,695,983,5714,25.0,48,11570,1990,4303,0.462,670,1782,0.376,1320,2521,0.524,942,1174,0.802,552,1576,2128,1293,419,214,747,979,5592
3.0,Denver Nuggets,47,11380,2026,4090,0.495,648,1646,0.394,1378,2444,0.564,957,1172,0.817,445,1552,1997,1316,322,195,594,894,5657,20.0,47,11380,1996,4262,0.468,607,1747,0.347,1389,2515,0.552,854,1110,0.769,560,1472,2032,1257,357,218,568,994,5453
4.0,Atlanta Hawks,48,11570,2080,4378,0.475,700,1885,0.371,1380,2493,0.554,792,1020,0.776,475,1552,2027,1491,452,229,711,962,5652,27.0,48,11570,2064,4332,0.476,639,1797,0.356,1425,2535,0.562,929,1163,0.799,548,1671,2219,1326,437,233,766,885,5696
5.0,Miami Heat,47,11305,2045,4412,0.464,627,1721,0.364,1418,2691,0.527,911,1156,0.788,559,1613,2172,1343,423,201,670,889,5628,23.0,47,11305,2026,4388,0.462,649,1871,0.347,1377,2517,0.547,847,1046,0.81,568,1660,2228,1272,392,254,746,958,5548
6.0,New Orleans Pelicans,49,11860,2058,4471,0.46,526,1560,0.337,1532,2911,0.526,965,1229,0.785,626,1531,2157,1213,440,226,705,982,5607,29.0,49,11860,2153,4462,0.483,724,2016,0.359,1429,2446,0.584,908,1164,0.78,601,1624,2225,1407,385,299,730,1005,5938
7.0,Minnesota Timberwolves,47,11355,2009,4175,0.481,663,1783,0.372,1346,2392,0.563,911,1214,0.75,528,1590,2118,1253,402,263,683,1001,5592,17.0,47,11355,1945,4235,0.459,588,1661,0.354,1357,2574,0.527,896,1155,0.776,522,1507,2029,1222,385,183,702,996,5374
8.0,Utah Jazz,47,11430,1987,4253,0.467,618,1765,0.35,1369,2488,0.55,986,1228,0.803,554,1510,2064,1422,361,163,740,1026,5578,30.0,47,11430,2137,4341,0.492,745,1971,0.378,1392,2370,0.587,975,1248,0.781,550,1571,2121,1442,432,280,630,987,5994
9.0,Golden State Warriors,48,11570,1970,4286,0.46,776,2139,0.363,1194,2147,0.556,853,1047,0.815,529,1532,2061,1375,473,214,739,961,5569,19.0,48,11570,2001,4260,0.47,605,1716,0.353,1396,2544,0.549,837,1053,0.795,553,1601,2154,1270,396,200,774,919,5444
10.0,Portland Trail Blazers,48,11570,1945,4346,0.448,673,1998,0.337,1272,2348,0.542,982,1271,0.773,672,1528,2200,1159,392,231,810,989,5545,26.0,48,11570,2038,4332,0.47,604,1723,0.351,1434,2609,0.55,957,1198,0.799,587,1504,2091,1286,512,305,733,1071,5637
